id,sub_topic_id,title,body,author,url,follow_count,datetime,vote_count,comment_count
0,0,Community Guidelines," Welcome to the InVision Community (the community site available at https://community.invisionapp.com - our ""Community""). These guidelines will set expectations so that we can all benefit from engagement on the site. By accessing or posting to the InVision Community, you are agreeing to the following guidelines as well as InVision's broader Privacy Policy and Terms of Service. Below are guidelines to follow when engaging in conversation in the Community: Be respectful and contribute positivelyDo not make inflammatory, hurtful, or offensive posts/comments to or about othersEnsure that your profile doesn't include any offensive contentDo not share any hateful, racist, obscene, profane, libelous, intimidating, or otherwise offensive language or images within the CommunityDo not use the Community to target or harass specific individuals or companies, and do not threaten or encourage legal action against othersDo not encourage others to engage in illegal activities or promote bad practices, including how to work around or violate the policies or terms of service of InVision or any other companyOnly post content that is constructive and relevant to the conversationRespect the intellectual property of othersAs a community of designers, it's critical that you respect the intellectual property rights of others. Your profile cannot contain material that violates any third party rights. You must not post any content created by another party to the Community unless you know that you have a legal right or license to do so. Do not misrepresent yourselfDo not set up more than one Community account. Do not misrepresent yourself as an employee of InVision and its affiliated companies, or anyone else. Protect your privacy and respect the privacy of othersDo not share personal information about yourself or anyone else, including their contact information, social media accounts, and other identifying information. Do not solicit othersHaving discussions about services, service providers and products that you've used is encouraged; selling your services to others is not. Do not post contact information for your business. Report inappropriate contentInVision does not review every post, photo or comment. If you see something that you feel violates our guidelines, please email community@invisionapp.com. If the content is a potential copyright violation, please follow these steps in our DMCA reporting process.Managing the CommunityOur goal is to create a community for designers to be able to help each other become better designers and use InVision more effectively. To help ensure that everyone is able to enjoy the Community, we may need to step in to help ensure that it's a positive experience.  We have no responsibility to proactively monitor or police the community, but we reserve the right to delete or reject any post or comment without notice for any reason. We may remove or modify posts that contain personal attacks, harassment, obscenity, spam, solicitation, or any other content that violates any of the above Community Guidelines, our Privacy Policy or our Terms of Service. We may also add or remove topics and move or remove corresponding posts and comments as we believe necessary. If we believe a discussion is no longer relevant or has become outdated we reserve the right to remove or close that discussion to prevent further comments. We also reserve the right to suspend users' access to the Community, or to deny access to any potential user, at any time at our discretion. Our goal is to help facilitate conversations between designers within the Community. At times, we may post responses directly but there may be a delay before we reply and there may be some questions we cannot answer. In some cases, we may proactively create a support ticket on your behalf if we believe your question would be better answered by our Support team. We will review and address any complaints of copyright infringement in the Community that are reported using our DMCA complaint process.Additional TermsYou must be 18 years old or older to participate in our CommunityAll content that you post, whether publicly posted or privately transmitted, is the sole responsibility of the user who posted or transmitted such content. This means that you are entirely responsible for any and all content that you upload, post, share, or otherwise display on the Community. InVision specifically makes no warranty regarding any such user content and disclaims any and all liability arising from any user content.InVision may designate one or more subject matter ""experts""  or ""ambassadors"" to blog or contribute to the Community. The opinions and advice of such ""experts"" or ""ambassadors"" may not reflect the opinion or viewpoint of InVision, and InVision undertakes no obligation to verify such content and disclaims all liability arising out of such content or advice.We provide this Community as a benefit to our users, but are not responsible for the content provided in the Community, or for ensuring that our products and services function in conformance with the information provided in this Community.   The information herein is expressly excluded from any reference to product or service ""documentation"" that we may otherwise make in any other agreement or policy. When you leave the Community, the posts, comments and other content that you have contributed to the Community may remain on the Community site for as long as we deem appropriate.  For example, certain posts may link to, and be linked to by, other posts, and we may decide to retain those threads for as long as we deem appropriate.  If you have a concern about removing any particular piece of content, please contact us at community@invisionapp.com.InVision reserves the right to, but has no obligation to, monitor the Community, or review, filter, or moderate any content.  You acknowledge that InVision has no duty to prescreen any content posted on the community and we are not responsible for any such content.  We do, however, reserve the right to decline to permit the posting on the Community of, or to remove from the Community, any content that fails to meet our Community Guidelines, Terms of Service or otherwise in our sole discretion. InVision, in its sole discretion, may preserve or disclose content (subject to any restrictions in our Privacy Policy).You are responsible for ensuring that you do not do anything or load onto the Community any content that is technically harmful to or may circumvent, interfere with or jeopardize the security of the Community.You grant to InVision and its affiliates a perpetual, worldwide, irrevocable, unrestricted, non-exclusive, royalty-free and fully paid-up license to use, copy, license, sublicense (through multiple tiers), adapt, distribute, display, publicly perform, reproduce, transmit, modify, edit, make derivative works of, and otherwise exploit the copy, content, intellectual property rights, the photographs and the likenesses (if any) of any user content you post on the Community, together with all rights therein.  You agree that InVision may review and use all user content for any reason and further give InVision the right to link to or frame your user content and place any content, including ads, around or near your user content. This license shall survive any termination of your account or this agreement. Some users may post website links in the Community. InVision is not responsible for the content on the websites with these links. In addition, InVision reminds you that some content and links on the Internet contain inappropriate material, such as malware or adult content that may be offensive to some users. You are responsible for any actions you may take based on information or advice you receive while online. Use your own good judgment when evaluating information provided through the Community or any other communication service. The decision to share information or conduct transactions with anyone is your own. Conduct your own research before making any decisions.ALL USERS AGREE THAT NEITHER INVISION OR ANY OF ITS AFFILIATES ENDORSE, ARE AFFILIATED WITH OR OTHERWISE BEAR ANY RESPONSIBILITY FOR ANY USER CONTENT ON ANY PART OF THE COMMUNITY.  INVISION SHALL HAVE NO RESPONSIBILITY OF LIABILITY WITH RESPECT TO ANY DISPUTES OR OTHER COMMUNICATIONS BETWEEN USERS.IN NO EVENT SHALL INVISION, NOR OUR DIRECTORS, EMPLOYEES, AGENTS, PARTNERS, SUPPLIERS OR CONTENT PROVIDERS, BE LIABLE UNDER CONTRACT, TORT, STRICT LIABILITY, NEGLIGENCE OR ANY OTHER LEGAL OR EQUITABLE THEORY WITH RESPECT TO THESE GUIDELINES OR THE COMMUNITY (A) FOR ANY LOST PROFITS, DATA LOSS, COST OF PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES, OR SPECIAL, INDIRECT, INCIDENTAL, PUNITIVE, COMPENSATORY OR CONSEQUENTIAL DAMAGES OF ANY KIND WHATSOEVER (HOWEVER ARISING); (B) FOR ANY BUGS, VIRUSES, TROJAN HORSES, OR THE LIKE (REGARDLESS OF THE SOURCE OF ORIGINATION); OR (C) FOR ANY DIRECT DAMAGES IN EXCESS OF $100.00.  THIS LIMITATION APPLIES EVEN IF WE OR OUR AGENTS OR REPRESENTATIVES KNOW OR HAVE BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. CERTAIN JURISDICTIONS MAY NOT ALLOW THE EXCLUSION OR LIMITATION OF CERTAIN DAMAGES. IF THESE LAWS APPLY TO YOU, SOME OR ALL OF THE ABOVE DISCLAIMERS, EXCLUSIONS OR LIMITATIONS MAY NOT APPLY TO YOU, AND YOU MAY HAVE ADDITIONAL RIGHTS.These Guidelines, including the Privacy Policy and Terms of Service referenced herein, constitute the entire agreement, and supersede all prior negotiations, understandings or agreements (oral or written), between the parties regarding the subject matter of  the subject matter herof (and all past dealing or industry custom).  The failure of InVision to enforce its rights under these Guidelines at any time for any period will not be construed as a waiver of such rights, and the exercise of one right or remedy will not be deemed a waiver of any other right or remedy. No waiver by any party of any breach or default of any provision of these Guidelines by the other party shall be effective as to any other breach or default, whether of the same or any other provision and whether occurring prior to, concurrent with, or subsequent to the date of such waiver. If any provision of these Guidelines is determined to be illegal or unenforceable, that provision will be limited or eliminated to the minimum extent necessary so that these Guidelines will otherwise remain in full force and effect and enforceable.  ",Sean Kinney,https://support.invisionapp.com/hc/en-us/community/posts/115009776426-Community-Guidelines,1,2017-07-31T19:55:09Z,0,0
1,0,"Studio - ""Reset overrides"" seems not working",I have an overridden symbol and i want to reset it to make my instance look just like the original symbol (through right-clik drop-down menu) but it seems not working at all.,przemek,https://support.invisionapp.com/hc/en-us/community/posts/360003857691-Studio-Reset-overrides-seems-not-working,2,2018-04-11T07:20:15Z,0,3
2,0,"Can't use Invision Studio for the first time, it's just blank screen"," I have new invitation as early user for invision studio month ago, but unfortunately I can't use it since it always show blank screen from every time I open the app. Anyone has similar issue? ",Heru,https://support.invisionapp.com/hc/en-us/community/posts/360003824712-Can-t-use-Invision-Studio-for-the-first-time-it-s-just-blank-screen,2,2018-04-11T06:54:01Z,0,1
3,0,Studio: Changing text color," The documentation says that I can change text color, but I'm not finding a property for it in the Inspector. See screenshot below. ",Cecilia Huster,https://support.invisionapp.com/hc/en-us/community/posts/360003822752-Studio-Changing-text-color,2,2018-04-11T02:14:40Z,0,1
4,0,bottom menu always visible even when scrolling down,"Hi i want to know while scrolling down the screen, how can the bottom menu always show visibleThanks",caraxero,https://support.invisionapp.com/hc/en-us/community/posts/360003853351-bottom-menu-always-visible-even-when-scrolling-down,2,2018-04-10T18:40:53Z,0,1
5,0,Does Studio link with DSM?,"The Design System Manager (DSM) intro video suggests it's possible to push and pull components from Studio to DSM and vice versa. However, in Studio I can't see a way to do this. Obviously both systems are new - perhaps the feature isn't live yet.Is it possible to link Studio and DSM, and if so how is it done?Thanks! ",Tom Hiskey,https://support.invisionapp.com/hc/en-us/community/posts/360003794611-Does-Studio-link-with-DSM-,3,2018-04-10T15:55:32Z,0,5
6,0,Text Shadows in Studio,Is there a way to add text shadows in Studio?,Jamie Gough,https://support.invisionapp.com/hc/en-us/community/posts/360003793071-Text-Shadows-in-Studio,2,2018-04-10T14:42:13Z,0,1
7,0,Bug Report: Border Radius on inVIsion Studio,"Hey there. I've found a 'little' bug on inVision Studio, hope it's okay to share here, since I didn't find any specific place to do so. Since it's an early access, we're supposed to help find them right? :)So, here it is, whenever I add some border radius to any shape, it disappears from my screen. I can still see the path if I hover it, and can even edit the path, but fills won't show, check it out: Here are my specs: If you guys need any other system info or for me to recreate the environment where this bugs take place, just ask :)",Renato Degiovani,https://support.invisionapp.com/hc/en-us/community/posts/360003759612-Bug-Report-Border-Radius-on-inVIsion-Studio,3,2018-04-10T11:20:43Z,0,3
8,0,Amount of Projects,"Hi,currently I only have one project in My Projects. But somehow the app tells me, I have two. How is this possible? Where is that missing project? I don't even have any archived project.Thanks and good day!Best regards,Andres-J. Cremades",Andres J Cremades,https://support.invisionapp.com/hc/en-us/community/posts/360003652092-Amount-of-Projects,2,2018-04-09T14:44:29Z,0,1
9,0,Managing Color Libraries in Studio,We have started our first design project in Studio and haven't been able to determine how to manage libraries of standard colors. How does one do this?,Matt Richards,https://support.invisionapp.com/hc/en-us/community/posts/360003645851-Managing-Color-Libraries-in-Studio,2,2018-04-08T21:41:50Z,0,1
